priority_id,rank,priority_class,risk_level,cell_id,operational_risk_index,forecast_operational_risk_index_24h,forecast_operational_risk_index_48h,forecast_operational_risk_index_72h,location,exposure,road_entity_count,settlement_count,verified_report_ids,report_priority_boost,reason,recommended_action,latitude,longitude
P2-001,11,P2,HIGH,SKM_07196,74.9,75.8,74.0,69.4,NH710 / Unnamed OSM road,19 OSM road entities,19,0,[],False,Current Operational Risk Index 74.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.147603,88.347251
P2-002,12,P2,HIGH,SKM_07238,74.7,75.7,74.1,69.4,SH / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 74.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.139237,88.27652
P2-003,13,P2,HIGH,SKM_07286,74.7,75.6,74.0,69.3,SH / Unnamed OSM road,13 OSM road entities,13,0,[],False,Current Operational Risk Index 74.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.130026,88.296594
P2-004,14,P2,HIGH,SKM_06759,74.4,73.2,72.1,67.3,NH10 · RANGPO-GANGTOK Rd / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 74.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.209353,88.489337
P2-005,15,P2,HIGH,SKM_07095,74.4,75.2,73.3,68.7,MDR / Unnamed OSM road,15 OSM road entities,15,0,[],False,Current Operational Risk Index 74.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.165261,88.387831
P2-006,16,P2,HIGH,SKM_06602,74.0,72.4,71.5,66.7,NH10 · RANGPO-GANGTOK Rd / NH510 / Unnamed OSM road,16 OSM road entities,16,0,[],False,Current Operational Risk Index 74.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.227403,88.489577
P2-007,17,P2,HIGH,SKM_07287,74.0,75.0,73.4,68.6,SH / Unnamed OSM road,13 OSM road entities,13,0,[],False,Current Operational Risk Index 74.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.129932,88.306682
P2-008,18,P2,HIGH,SKM_05344,73.8,70.5,70.7,65.5,NH310 / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 73.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.360959,88.653111
P2-009,19,P2,HIGH,SKM_06906,73.8,73.1,71.7,66.9,NH10 · RANGPO-GANGTOK Rd / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 73.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.191194,88.49919
P2-010,20,P2,HIGH,SKM_07345,73.7,74.7,72.9,68.3,SH / Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 73.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.111595,88.336732
P2-011,21,P2,HIGH,SKM_05182,73.6,71.1,71.4,66.1,NH310 / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 73.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.378522,88.693815
P2-012,22,P2,HIGH,SKM_04702,73.5,67.8,67.8,63.3,SH / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 73.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.434762,88.512585
P2-013,23,P2,HIGH,SKM_05274,73.5,71.7,71.5,66.6,NH310,1 OSM road entity,1,0,[],False,Current Operational Risk Index 73.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.368365,88.784646
P2-014,24,P2,HIGH,SKM_05591,73.4,70.1,70.0,64.9,SH2 · Gangtok - Assam - Pakyong Road / Unnamed OSM road,41 OSM road entities,41,0,[],False,Current Operational Risk Index 73.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.334241,88.622394
P2-015,25,P2,HIGH,SKM_06113,73.2,70.8,70.2,65.2,NH 717A / NH10 / Unnamed OSM road,15 OSM road entities,15,0,[],False,Current Operational Risk Index 73.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.280442,88.591306
P2-016,26,P2,HIGH,SKM_05763,73.1,69.8,69.7,64.6,Gairi gaon foot path / NH10 / Unnamed OSM road,38 OSM road entities,38,0,[],False,Current Operational Risk Index 73.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.316425,88.601924
P2-017,27,P2,HIGH,SKM_07271,73.1,74.6,72.1,67.7,Unnamed OSM road,14 OSM road entities,14,0,[],False,Current Operational Risk Index 73.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.131341,88.145267
P2-018,28,P2,HIGH,SKM_04629,73.0,67.0,67.0,62.6,SH / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 73.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.443787,88.512708
P2-019,29,P2,HIGH,SKM_05509,72.8,69.4,69.5,64.3,NH310 / SH2 · Gangtok - Assam - Pakyong Road / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 72.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.343148,88.632632
P2-020,30,P2,HIGH,SKM_07153,72.8,73.9,71.8,67.2,MDR / Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 72.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.155932,88.41799
P2-021,31,P2,HIGH,SKM_07344,72.8,73.8,72.1,67.4,SH / Unnamed OSM road,15 OSM road entities,15,0,[],False,Current Operational Risk Index 72.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.111691,88.326645
P2-022,32,P2,HIGH,SKM_06301,72.6,69.3,69.0,63.8,Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 72.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.260962,88.712229
P2-023,33,P2,HIGH,SKM_06386,72.6,69.4,69.1,64.0,Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 72.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.251938,88.712091
P2-024,34,P2,HIGH,SKM_07363,72.6,73.9,71.9,67.2,NH710 / SH / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 72.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.102376,88.356795
P2-025,35,P2,HIGH,SKM_05675,72.5,69.2,69.1,64.0,Unnamed OSM road,24 OSM road entities,24,0,[],False,Current Operational Risk Index 72.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.325565,88.59195
P2-026,36,P2,HIGH,SKM_06047,72.5,70.9,70.7,65.6,Shalambi,2 OSM road entities; 1 mapped settlement,2,1,[],False,Current Operational Risk Index 72.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.286761,88.813646
P2-027,37,P2,HIGH,SKM_06134,72.5,70.7,70.6,65.5,Unnamed OSM settlement,1 OSM road entity; 1 mapped settlement,1,1,[],False,Current Operational Risk Index 72.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.277868,88.8034
P2-028,38,P2,HIGH,SKM_06817,72.5,73.3,71.5,67.1,SH / Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 72.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.20195,88.327712
P2-029,39,P2,HIGH,SKM_05273,72.4,70.5,70.4,65.4,NH310,1 OSM road entity,1,0,[],False,Current Operational Risk Index 72.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.368493,88.774539
P2-030,40,P2,HIGH,SKM_06456,72.4,70.1,69.4,64.4,NH 717A / SH2 · Gangtok - Assam - Pakyong Road / Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 72.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.244112,88.610986
P2-031,41,P2,HIGH,SKM_07035,72.4,73.1,71.3,66.7,MDR / NH710 / Namchi Rock Garden Path,32 OSM road entities,32,0,[],False,Current Operational Risk Index 72.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.174386,88.377851
P2-032,42,P2,HIGH,SKM_07250,72.4,73.7,71.5,67.0,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 72.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.138083,88.397585
P2-033,43,P2,HIGH,SKM_06847,72.2,70.4,69.4,64.6,NH 717A / SH / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 72.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.198755,88.630523
P2-034,44,P2,HIGH,SKM_06828,72.1,71.9,70.5,65.8,Unnamed OSM road,19 OSM road entities,19,0,[],False,Current Operational Risk Index 72.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.200855,88.438749
P2-035,45,P2,HIGH,SKM_07129,72.1,73.5,71.2,66.9,Unnamed OSM road,31 OSM road entities,31,0,[],False,Current Operational Risk Index 72.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.158171,88.175817
P2-036,46,P2,HIGH,SKM_05341,72.0,68.7,68.8,63.7,Burtuk / NH310 / NH310 · Lower Burtuk Road,22 OSM road entities,22,0,[],False,Current Operational Risk Index 72.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.361315,88.622789
P2-037,47,P2,HIGH,SKM_05189,71.9,70.0,69.9,65.0,NH310 / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 71.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.377645,88.764574
P2-038,48,P2,HIGH,SKM_06833,71.9,71.0,69.7,64.9,NH10 · RANGPO-GANGTOK Rd / Unnamed OSM road,24 OSM road entities,24,0,[],False,Current Operational Risk Index 71.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.200327,88.489217
P2-039,49,P2,HIGH,SKM_05340,71.8,68.4,68.5,63.4,NH310 / NH310 · Lower Burtuk Road / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 71.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.361432,88.612681
P2-040,50,P2,HIGH,SKM_06776,71.8,69.6,68.7,63.9,SH / Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 71.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.207424,88.660934
P2-041,51,P2,HIGH,SKM_06096,71.7,69.6,69.0,64.1,MDR / Unnamed OSM road,17 OSM road entities,17,0,[],False,Current Operational Risk Index 71.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.28229,88.419591
P2-042,52,P2,HIGH,SKM_06525,71.7,69.8,69.0,64.1,NH10 / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 71.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.236212,88.509891
P2-043,53,P2,HIGH,SKM_06244,71.6,72.8,70.3,66.7,Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 71.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.266822,88.13655
P2-044,54,P2,HIGH,SKM_07036,71.6,72.3,70.4,65.9,MDR / Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 71.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.174286,88.387943
P2-045,55,P2,HIGH,SKM_05759,71.5,68.3,68.2,63.2,Unnamed OSM road,13 OSM road entities,13,0,[],False,Current Operational Risk Index 71.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.316882,88.56151
P2-046,56,P2,HIGH,SKM_06308,71.5,69.4,69.3,64.1,NH 717B · Jelep Pass Highway,1 OSM road entity,1,0,[],False,Current Operational Risk Index 71.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.260079,88.782914
P2-047,57,P2,HIGH,SKM_05183,71.4,68.9,69.1,63.9,NH310,1 OSM road entity,1,0,[],False,Current Operational Risk Index 71.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.378399,88.703924
P2-048,58,P2,HIGH,SKM_06393,71.4,69.3,69.3,64.1,NH 717B · Jelep Pass Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 71.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.251055,88.78277
P2-049,59,P2,HIGH,SKM_06457,71.4,68.9,68.3,63.3,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 71.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.243995,88.621083
P2-050,60,P2,HIGH,SKM_06309,71.3,69.3,69.3,64.1,NH 717B · Jelep Pass Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 71.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.25995,88.793011
P2-051,61,P2,HIGH,SKM_06979,71.3,70.8,69.3,64.6,Majitar Railway Station Rd / NH10 / NH10 · RANGPO-GANGTOK Rd,12 OSM road entities,12,0,[],False,Current Operational Risk Index 71.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.182061,88.509162
P2-052,62,P2,HIGH,SKM_06443,71.1,69.1,68.5,63.6,NH510 / NH510 · Sirwani Bridge / SH,14 OSM road entities,14,0,[],False,Current Operational Risk Index 71.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.245561,88.47972
P2-053,63,P2,HIGH,SKM_05185,71.0,68.8,68.9,63.8,NH310 / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 71.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.378151,88.724141
P2-054,64,P2,HIGH,SKM_06669,71.0,71.1,69.5,65.1,Unnamed OSM road,11 OSM road entities,11,0,[],False,Current Operational Risk Index 71.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.219614,88.36831
P2-055,65,P2,HIGH,SKM_05267,70.9,68.5,68.5,63.4,Kyangsala,8 OSM road entities; 1 mapped settlement,8,1,[],False,Current Operational Risk Index 70.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.369251,88.713893
P2-056,66,P2,HIGH,SKM_05275,70.9,69.3,69.0,64.2,NH310,1 OSM road entity,1,0,[],False,Current Operational Risk Index 70.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.368235,88.794753
P2-057,67,P2,HIGH,SKM_06025,70.9,68.2,67.9,62.8,NH 717A / NH10 / Unnamed OSM road,16 OSM road entities,16,0,[],False,Current Operational Risk Index 70.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.289466,88.591435
P2-058,68,P2,HIGH,SKM_06960,70.9,71.8,70.0,65.6,SH / Unnamed OSM road,14 OSM road entities,14,0,[],False,Current Operational Risk Index 70.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.183994,88.317406
P2-059,69,P2,HIGH,SKM_07042,70.9,71.6,69.6,65.0,MDR / Unnamed OSM road,19 OSM road entities,19,0,[],False,Current Operational Risk Index 70.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.173674,88.448493
P2-060,70,P2,HIGH,SKM_05590,70.8,67.5,67.5,62.3,Baluakhani / Bhanu Path / Jiwan Theeng Marg,103 OSM road entities,103,0,[],False,Current Operational Risk Index 70.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.334358,88.612289
P2-061,71,P2,HIGH,SKM_06065,70.8,71.5,69.1,65.6,Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 70.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.285118,88.106426
P2-062,72,P2,HIGH,SKM_07158,70.8,71.8,69.6,65.0,Unnamed OSM road,11 OSM road entities,11,0,[],False,Current Operational Risk Index 70.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.155413,88.468439
P2-063,73,P2,HIGH,SKM_05827,70.7,69.5,68.7,64.0,MDR / Unnamed OSM road,36 OSM road entities,36,0,[],False,Current Operational Risk Index 70.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.30987,88.369416
P2-064,74,P2,HIGH,SKM_06916,70.7,69.3,68.1,63.4,Unnamed OSM road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 70.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.190079,88.600115
P2-065,75,P2,HIGH,SKM_07150,70.7,71.7,69.7,65.2,MDR,1 OSM road entity,1,0,[],False,Current Operational Risk Index 70.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.156235,88.38772
P2-066,76,P2,HIGH,SKM_06368,70.6,68.6,68.0,63.0,NH10 / Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 70.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.254043,88.530332
P2-067,77,P2,HIGH,SKM_07105,70.5,70.8,68.9,64.3,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 70.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.164226,88.488738
P2-068,78,P2,HIGH,SKM_07288,70.5,71.5,69.8,65.1,SH / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 70.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.129838,88.31677
P2-069,79,P2,HIGH,SKM_06447,70.4,68.4,67.7,62.8,NH10 / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 70.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.245128,88.520111
P2-070,80,P2,HIGH,SKM_06778,70.4,68.2,67.4,62.5,NH 717B · Jelep Pass Highway / SH / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 70.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.207183,88.681121
P2-071,81,P2,HIGH,SKM_07037,70.4,71.1,69.2,64.7,MDR / Unnamed OSM road,15 OSM road entities,15,0,[],False,Current Operational Risk Index 70.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.174186,88.398035
P2-072,82,P2,HIGH,SKM_05423,70.2,66.8,66.8,61.7,Unnamed OSM road,21 OSM road entities,21,0,[],False,Current Operational Risk Index 70.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.352524,88.602444
P2-073,83,P2,HIGH,SKM_06109,70.2,67.5,67.0,62.0,SH1 · Rannipool - Rumtek - Sirwani Road / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 70.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.280895,88.550904
P2-074,84,P2,HIGH,SKM_06537,70.2,67.7,67.1,62.1,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 70.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.234853,88.631048
P2-075,85,P2,HIGH,SKM_07134,70.2,71.6,69.7,65.0,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 70.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.157739,88.226272
P2-076,86,P2,HIGH,SKM_05677,70.1,66.8,66.8,61.6,Gangtok,98 OSM road entities; 1 mapped settlement,98,1,[],False,Current Operational Risk Index 70.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.325333,88.612158
P2-077,87,P2,HIGH,SKM_06413,70.1,71.7,69.1,65.5,Unnamed OSM road,11 OSM road entities,11,0,[],False,Current Operational Risk Index 70.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.248435,88.176764
